Run,Timestamp,DB_Before,DB_After
1,2025-08-24 12:42:46,24M,28G
2,2025-08-24 13:42:49,28G,65G
3,2025-08-24 14:47:55,65G,107G
4,2025-08-24 15:50:55,107G,148G
5,2025-08-24 16:49:34,148G,190G
6,2025-08-24 17:48:01,190G,232G
7,2025-08-24 18:48:16,232G,275G
8,2025-08-24 19:49:06,275G,317G
9,2025-08-24 20:49:50,317G,360G
10,2025-08-24 21:51:53,360G,404G
