id,label,hasTitle,hasChapterNumber,isPartOfBook
ch1.1,Down the Rabbit-Hole,Down the Rabbit-Hole,1,book1
ch1.2,The Pool of Tears,The Pool of Tears,2,book1
ch1.3,A Caucus-Race and a long Tale,A Caucus-Race and a long Tale,3,book1
ch2.1,Looking-Glass House,Looking-Glass House,1,book2
ch2.2,The Garden of Live Flowers,The Garden of Live Flowers,2,book2
ch2.3,Looking-Glass Insects,Looking-Glass Insects,3,book2
